0,ling4
0.5,ling4 dim2 ng5
00後,ling4 ling4 hau6
0仔,ling4 zai2
1,jat1
10,jat1 ling4
10000米,jat1 maan6 mai5
100米,jat1 baak3 mai5
100米欄,jat1 baak3 mai5 laan4
100米跨欄,jat1 baak3 mai5 kwaa1 laan4
10月,sap6 jyut6
110,jat1 jat1 ling4
110米欄,jat1 baak3 jat1 sap6 mai5 laan4
110米欄,baak3 jat1 mai5 laan4
110米跨欄,jat1 baak3 jat1 sap6 mai5 kwaa1 laan4
110米跨欄,baak3 jat1 mai5 kwaa1 laan4
119,jat1 jat1 gau2
11月,sap6 jat1 jyut6
120,jat1 ji6 ling4
12月,sap6 ji6 jyut6
1500米,jat1 cin1 ng5 baak3 mai5
1500米,cin1 ng5 mai5
1仔,jat1 zai2
1月,jat1 jyut6
1號電池,jat1 hou6 din6 ci4
200米,ji6 baak3 mai5
200米,loeng5 baak3 mai5
2019冠狀病毒病,ji6 ling4 jat1 gau2 gun1 zong6 beng6 duk6 beng6
2月,ji6 jyut6
2號電池,ji6 hou6 din6 ci4
3000米障礙,saam1 cin1 mai5 zoeng3 ngoi6
3D打印,saam1 di1 daa2 jan3
3D打印機,saam1 di1 daa2 jan3 gei1
3P,saam1 pi1
3月,saam1 jyut6
3號電池,saam1 hou6 din6 ci4
400米,sei3 baak3 mai5
400米欄,sei3 baak3 mai5 laan4
400米跨欄,sei3 baak3 mai5 kwaa1 laan4
4×100米,sei3 sing4 jat1 baak3 mai5
4×400米,sei3 sing4 sei3 baak3 mai5
4月,sei3 jyut6
4號電池,sei3 hou6 din6 ci4
5000米,ng5 cin1 mai5
502,ng5 ling4 ji6
502膠水,ng5 ling4 ji6 gaau1 seoi2
5月,ng5 jyut6
5號電池,ng5 hou6 din6 ci4
689,luk6 baat3 gau2
69,luk6 sap6 gau2
6月,luk6 jyut6
7,cat6
7,cat1
7,se1 fan4
70後,cat1 sap6 hau6
70後,cat1 ling4 hau6
7仔,cat1 zai2
7月,cat1 jyut6
7號電池,cat1 hou6 din6 ci4
800米,baat3 baak3 mai5
80後,baat3 sap6 hau6
80後,baat3 ling4 hau6
8月,baat3 jyut6
9,gau1
90後,gau2 sap6 hau6
90後,gau2 ling4 hau6
985,gau2 baat3 ng5
9upper,gau1 ngap1 baa4
9月,gau2 jyut6
A0,ei1 ling4
A1,ei1 wan1
A1,ei1 jat1
A4紙,ei1 fo1 zi2
AAA電池,saam1 ei1 din6 ci4
AA膠,ei1 ei1 gaau1
AA電池,ei1 ei1 din6 ci4
ABO血型系統,ei1 bi1 ou1 hyut3 jing4 hai6 tung2
AB型血,ei1 bi1 jing4 hyut3
AC,ei1 si1
ac,ei1 si1
acc,aa6 kaan1
account,aa6 kaan1
account,aa6 kaang1
actu,ek6 cu1
actu,ek6 cou6
AED機,ei1 ji1 di1 gei1
agent,ei1 zeon2
APP,ei1 pi1 pi1
APP,ep1
archi,aa1 ki2
arts,aat1 si2
assignment,aa6 saai1 man4
asso,aa6 sou1
ATM機,ei1 ti1 em1 gei1
ATP酶,ei1 ti1 pi1 mui4
auxi,ok1 si2
AV,ei1 wi1
AV畫質,ei1 wi1 waa2 zat1
A仔,ei1 zai2
A型肝炎,ei1 jing4 gon1 jim4
A型血,ei1 jing4 hyut3
A字膊,ei1 zi6 bok3
A片,ei1 pin2
A肝,ei1 gon1
A股,ei1 gu2
A菜,ei1 coi3
A貨,ei1 fo3
A面,ei1 min2
band,ben1
band仔,ben1 zai2
band女,ben1 neoi5
barcode,baa1 kuk1
BB,bi4 bi1
BB,bei4 bi1
BB,bei4 bi2
BB,bi4 bi2
BBQ,bi1 bi1 kiu1
BB仔,bi4 bi1 zai2
BB女,bi4 bi1 neoi2
BB槍,bi1 bi1 coeng1
BB機,bi1 bi1 gei1
BB車,bi4 bi1 ce1
BB霜,bi1 bi1 soeng1
BGM,bi1 zi1 em1
bi bu車,bi1 bu3 ce1
bio,baai6 o1
booking,buk1 king4
booking,buk1 king2
boot,but1
boy,boi1
BP機,bi1 pi1 gei1
briefing,bi1 fing4
briefing,bi1 fing2
bud,bat1
